,title,state,time,content
10,长春公共交通老年卡暂停使用？,谣言,2020-05-20,　　5月20日，@长春发布 表示，近日一条内容为“长春疫情再升级，公共交通老年卡全部暂停使用”的消息被部分网友尤其部分老年人转发，经与相关部门核实，该条消息内容不属实，系谣言！提醒大家，疫情相关信息请以官方发布内容为准，不信谣不传谣，否则将承担相应的法律后果！
11,长春有一吉林密切接触者逃跑失踪？,谣言,2020-05-20,
12,云南昆明出现新确诊新冠肺炎病例？,谣言,2020-05-20,　　近日，有网友在互联网上称云南昆明王家桥出现新确诊新冠肺炎病例。昆明市五华区疾病预防控制中心20日发布通告，近日王家桥片区某宾馆出现身体不适的1名住店人员，经医院临床诊断和实验室检测，已排除新型冠状病毒感染的肺炎。　　通告称，昆明五华区疾病预防控制中心近日针对网络传播王家桥片区出现确诊新冠肺炎病例的不实信息进行了调查核实。　　5月18日，按照昆明市疫情常态化防控相关要求，该中心对王家桥片区某宾馆出现身体不适的1名住店人员进行了排查，采取了相应措施，经医院临床诊断和实验室检测，已排除新型冠状病毒感染的肺炎。　　昆明市五华区疾病预防控制中心请昆明市民不信谣、不传谣。(缪超)
13,跑沈阳线路的大连列车员确诊，接触600人？,谣言,2020-05-20,　　近日，大连市一些微信群等社交媒体上流传消息称“跑沈阳线路的大连列车员已经发现感染了，确诊了，接触人员有瓦房店、长兴岛、大连、大连北，接触人数600人左右”。　　5月19日，@大连客运段 严肃声明，该消息纯属谣言，广大市民切勿信谣传谣，避免引起社会恐慌。 ​​​​
14,中国防疫“不透明”？,谣言,2020-05-20,　　针对中国在疫情初期是如何与国际社会进行交流和分享相关信息、有国家说中国在新冠肺炎疫情防控方面未能及时告诉世界真相等问题，在19日的联防联控新闻发布会上，中国疾控中心流行病学首席专家吴尊友阐述了中国的做法。　　我们可以用三个“第一”来概括我们的“早、快、透明”。　　第一个“第一”：1月3日已通报世卫发生了不明原因肺炎　　1月3日，我们还不清楚造成这次疫情的病原体是什么的时候，我们通报了世界卫生组织以及其他国家，我们中国发生了疫情，现在叫做不明原因的肺炎。　　第二个“第一”：1月7日分离出新型冠状病毒后及时通报　　1月7日，在分离出新型冠状病毒是造成这次不明原因肺炎的罪魁祸首时，我们立刻通报世界卫生组织和相关国家，告知他们我们已查清是新型冠状病毒造成这次不明原因肺炎。　　第三个“第一”：第一时间把基因序列上传至全球共享平台　　当我们把病毒的基因序列弄清楚时，第一时间上传、通报、分享给世界卫生组织，并且把整个基因序列上传到世界卫生组织的全球共享数据平台。这个平台一上传以后，全世界所有国家都可以按照这样的基因序列来生产诊断试剂。　　这三个“第一”就说明了我们在疫情的早期也是本着“早、快、透明”的原则和世界卫生组织以及其他国家分享信息。只有本着及时、公开、透明的信息分享，才能够全世界进行合作，才有可能赢得战胜新冠肺炎这场战争。
15,疫苗瓶短缺将影响疫苗生产？,谣言,2020-05-19,　　5月17日，中国疫苗行业协会发文称，针对近日部分媒体关于“疫苗瓶短缺将影响疫苗生产”的报道，中国疫苗行业协会基于疫苗瓶产业观察与行业数据，在与数家标杆企业沟通论证后认为，我国具备优质疫苗瓶生产的产业基础，据不完全统计，年产量至少可达80亿支以上，能够满足新冠疫苗生产需求。　　疫苗的特殊性要求选择的包材为硼硅玻璃材质，主要是管制注射剂瓶（俗称西林瓶）和预灌封注射器。目前，我国有相关包装生产企业60余家，其中疫苗用管制注射剂瓶生产企业主要有宁波正力、双峰格林斯海姆等，预灌封注射器生产企业主要有山东威高、宁波正力、山东药玻、BD等。　　按照上述企业的生产能力，经初步估算，我国疫苗瓶年产量至少可达80亿支以上。根据全球新冠疫苗研发进度，疫苗瓶生产企业目前拥有充足的准备时间和产能基础，只要新冠疫苗研发成功，确定了包装产品的形式和规格型号，疫苗瓶生产企业可以迅速释放产能，持续有序地满足市场需求。　　值得注意的是，疫苗选择包材是一个非常严谨的过程。从合格包材供应商审计到药品与包材相容性研究等，涉及对包材生产企业综合能力的考察。疫苗选择包材进行的稳定性试验则需要长时间的验证，根据药品的有效期，这一过程通常需要2-3年左右时间。这样的高标准，保证了疫苗包材的安全可靠。　　目前，我国多家疫苗瓶生产企业已经与新冠疫苗研发单位进行对接，提前了解疫苗瓶生产需求，做好原料储备，根据疫苗研发进度安排生产，保障疫苗生产需求。
16,鸡屎藤能预防新冠病毒？,谣言,2020-05-19,　　病毒是病原微生物中最小的一种，寄生于宿主细胞内，依赖宿主细胞代谢系统进行增殖复制。病毒复制过程包括识别并吸附到宿主细胞的表面、通过宿主细胞膜穿入易感细胞、脱壳、合成早期的调控蛋白及核酸多聚酶、病毒基因组（DNA或RNA）复制、合成后期的结构蛋白、子代病毒的组装、易感细胞释放子代病毒。上述过程为一个复制周期。　　想要抵抗病毒的感染，有很多途径，比如直接抑制或杀灭病毒、干扰病毒吸附、阻止病毒穿入细胞、抑制病毒生物合成等。抗病毒药物主要就是通过影响病毒复制周期的某个环节而发挥作用。但目前为止，尚未发现特异的抗新型冠状病毒药物。　　鸡矢藤为茜草科植物鸡矢藤的全草，是一种常见的中草药，因为这种植物有类似鸡屎的臭味而又名鸡屎藤。《中华本草》记载其具有祛风除湿、消食化积、解毒消肿、活血止痛的功效。　　近年初步研究表明鸡矢藤具有一定的抗炎、镇痛、调节胃肠道功能、抑菌作用。但到目前为止，尚未发现鸡矢藤抗新型冠状病毒或其他冠状病毒的实验依据，也没有确切的临床证据。因此，认为“鸡屎藤能预防新冠病毒”是没有科学依据的。　　另据2006年由张光荣、夏光成主编，天津科技翻译出版公司出版的图书《有毒中草药彩色图鉴》中记载，鸡矢藤的全草具有毒性。所以，建议大家不要轻信 “鸡屎藤能预防新冠病毒”传闻，避免误服产生毒副作用，造成不良后果。如果发现发热、乏力、干咳等感染新冠病毒疑似症状，应及时到定点医院，请专业医生诊治。（郭姣）
17,“川崎病”症状已确定为新冠病毒感染引发的新症状？,谣言,2020-05-19,　　新冠疫情暴发以来，儿童感染率比成人低，且多为轻症，因此儿童此前被认为是新冠低感染人群。　　近期多个国家报道很多儿童出现了“川崎病”症状的全身炎症反应综合征，并且在这些患儿中，很多被检测出新冠病毒阳性。这一新症状让大家开始为孩子揪心不已，传言也纷至沓来，然而事实是这样吗？　　川崎病又称粘膜皮肤淋巴结综合征，可以由多种致病菌诱发，症状表现为高烧、皮疹、颈部淋巴结肿大、结膜充血、手足肿胀、指端脱屑、口唇干裂等，严重者会引起心血管并发症。由于川崎病首发症状是高烧，身上同时伴发有疹子，因此常常会被误诊为感冒、麻疹、手足口或猩红热。　　川崎病主要易感人群为5岁以下儿童，如果早发现早治疗，绝大多数儿童预后良好，唯有少数患儿遗留冠状动脉瘤等心脏并发症，需要长期治疗。川崎病最大危害是损害冠状动脉，是小儿冠状动脉病变的主要原因，也是成年后发生冠心病的潜在危险因素。　　虽然大量流行病学和临床观察显示，川崎病是由感染所致，尤其是与病毒感染有关。但尚无证据说明川崎病是新冠所致。　　首先，这些儿童目前只是疑似川崎病，并非确诊；其次，本次欧美类似“川崎病”症状的儿童即使按照川崎病正常治疗，很多仍然症状很重，有的甚至无法痊愈。　　因此，“川崎病”症状是否为感染冠状病毒后诱发的，仍需进一步科学研究及流行病调查来论证。　　目前我国新冠战役已经取得了阶段性的胜利，我们只要不松懈，继续做好防护即可，不必过于恐慌。（程芳）
18,有“黄牛”在珠海兜售核酸采样证明？,谣言,2020-05-18,　　近日，澳门社交媒体上流传一则信息，称“珠海有‘黄牛’在兜售盖章核酸采样证明”。5月18日，珠海市卫健局通报了相关调查情况，称目前经初步核查暂未发现这则信息中提到的相关情况。　　珠海市卫健局表示，获悉这则信息后，信息中指向的珠海市中西医结合医院立即对反映的情况进行核查。经医院辨认，社交媒体所发的第一张图片是该院体检中心画面，第二、第三张均不是该院画面，第四张为被采样人的核酸采集证明，第五张是被采样人正在填写采样前的表格。院方经过调看监控录像、排查现场医务人员和巡视保安后，均未发现信息中所述情况。　　通过电话，院方与图片中核酸受检人员陈某取得联系，陈某证实确是自己的核酸检测采样证明。他按照公司规定，将这张证明发到了公司群里，至于图片如何流传出去被做它用，则无从得知。　　珠海市中西医结合医院副院长贝伟红介绍，为确保核酸检测结果的真实有效，医院进行了周密的流程设计，检测采集流程共分为排队取号、测温，窗口登记和缴费，核算检测专区排队检查，工作人员核查后出采样证明四个步骤，整个核酸采集流程中，严格采用实名制，并且在排队取号和窗口登记两个环节都要出示有效证件核查，按照身份信息内容打印采样条码标签。在整个登记、缴费、采样流程结束后，工作人员还会进行检查和确认方才出具采样证明。流程的设计就是为了确保“人证合一”，杜绝作假。　　据了解，自5月8日核酸检测前置检测以来，作为最靠近澳门的大型公立医院，珠海市中西医结合医院承担了全市最多的核酸检测量，每天的核酸检测量接近两千人次，16、17日的核酸检测量超过3000人次。占珠海所有医院检测量的50%以上。医院每天安排30—60名医务人员，10—12名安保人员，延长采集工作时间，从早上7点半到晚上9点，全程不间断提供核酸采集服务。　　对于网上出现“制假售假”引发的担忧，贝伟红说，医院将进一步严格规范做好核酸检测采集服务，从做好服务入手，进一步优化流程，减少排队时间，改善前来检测人员的体验；持续加强保安巡视力度，加强内部监控，杜绝院外人员在院内扰乱医疗秩序情况发生的可能；与辖区派出所沟通，共同维护好辖区治安秩序，对出现扰乱正常医疗秩序的情况将及时报警。　　目前，珠海市正在积极推进运用信息化手段实现核酸检测数据即时传输和口岸现场自动核验，避免造假行为的发生。同时也呼吁中资职介所对输澳务工人员加大宣传和科学指引，合理选择免费采样点，组织预约核酸检测，有序分流，减少人群聚集，提高采样效率。
19,吉林市、舒兰市上千人流动至长春？,谣言,2020-05-18,　　近日，微信等社交媒体上流传着这样一则消息:“刚刚，长春市防控工作小组召开紧急会议。通报从舒兰来长640多人，在高新区590多人，吉林来长春1200多人，在高新区900多人。高新是本市重灾区，希望大家多多注意，不要去欧亚卖场，超市等人多地方。”　　经与相关部门核实此消息系谣言，中国吉林网在此提示广大市民，特殊时期切勿信谣传谣，引起不必要的恐慌。相关信息请以官方发布为准。
20,用抗体阳性率能推算当前武汉无症状感染者？,误区,2020-05-19,　　近日，有网友使用有关报道的武汉市人群抗体阳性率，来推算武汉现有无症状感染者人数，造成部分网民误读。实际上，武汉4月中旬进行的1.1万名居民血清流行病学抽样调查结果目前并未公布。　　且不论网友使用的人群抗体阳性率真实与否，依此来推测武汉现有无症状感染者人数是否科学？　　华中科技大学同济医学院公共卫生学院教授魏晟说：“核酸检测是目前确诊新冠病毒感染的主要方法，通过直接检测病毒的特异性序列片段来确定是否感染了新冠病毒，如果检测结果为阳性，表明被检对象目前正处感染状态。”　　武汉4月中旬进行的1.1万人血清学抽样调查，是通过检测人体内是否有新冠病毒特异性抗体，来判断是否曾经感染过新冠病毒。魏晟介绍，通常而言，人体感染病毒后，免疫系统会产生两种抗体，一种是IgM抗体，在人体感染后出现较早、消退较快，是近期感染的指标；另一种是IgG抗体，出现比IgM晚，持续时间较长，是人体既往感染的指标。武汉市4月中旬进行的血清学流调，由于是在确诊病例清零后进行的，其获得的抗体水平估计主要反映的是IgG的水平。　　魏晟认为，由于武汉1.1万名居民血清学抽样调查结果尚未公布，因此目前尚无法知道武汉市当时人群的感染情况，即使了解了当时的感染情况，也不能以此来推算武汉现有的无症状感染者人数。毕竟人群的感染状态是动态变化的。无症状感染者不会永远处于无症状感染状态，随着时间的推移，绝大多数无症状感染者都会自愈。　　“IgG抗体阳性率如果较低，则说明防控措施防止了大多数人感染新冠病毒；而如果IgG抗体阳性率较高，也并非坏事，这对防止人体再次感染新冠病毒可能具有一定作用。”魏晟说。　　同时，据早前公布的结果，武汉同期进行的核酸检测中，仅发现1例核酸阳性者，表明武汉市民中当时的感染者比例已不足万分之一。　　他认为，当前武汉正在进行的集中核酸检测，其主要目的是短时间内尽可能筛查出无症状感染者，进行隔离观察，从而最大限度减少可能的传播风险。这些措施可以进一步降低人群中的感染水平，提高公众的安全感。
21,东莞厚街卓业大厦出现疑似病例？,谣言,2020-05-18,　　近日，网络上流传一则厚街“卓业大厦疑似新冠肺炎通知”信息，引发自媒体群转发议论。网传的造谣P图　　5匜16日上午，经厚街公安、疾控部门核实，该信息为谣言。目前，造谣发布者胡某跃（男，38岁，广东英德人）已被厚街公安分局抓获。据初步审讯，胡某跃承认自己用手机P了流传的图片，并于昨日下午2时许发在家人群中，目的是为了让家人关心自己。　　据胡某跃交代，自己是一名鞋样设计师，自认为在家庭16人的群中长期不被重视，因此P该图发上去吸引家人重视。　　目前，胡某跃已被公安部门以寻衅滋事行政拘留十五日，并处罚款人民币一千元。
22,朝阳市发现确诊病例和疑似病例？,谣言,2020-05-18,　　针对坊间传说发现有来自吉林舒兰的确诊病例在朝阳市活动的轨迹，不少市民对此议论纷纷。为此，《朝阳日报》采访了市卫健委新闻发言人、市疾控中心副主任孙群。　　记者：朝阳市各大医院是否发现确诊病例和疑似病例？　　孙群：5月10日市二院收治了2名因“心房早搏”和“高血压”而就诊的从吉林省通化市辉南县返朝的夫妻患者，按市防指工作要求，对2名患者进行血清抗体和核酸检测。经市疾控中心2次检测阴性结果，结合2名患者肺部CT扫描和血常规无异常，排除2名患者为新冠肺炎，目前正住院对其心血管病进行治疗。　　近期，因吉林省舒兰市出现聚集性疫情，辽宁省沈阳市也出现了输入性确诊病例，朝阳市疾控中心陆续接到辽宁省、沈阳市、内蒙古赤峰市疾控中心发来的密切接触者协查函，请求我市协助追踪调查，其中包括双塔区1名密切接触者，喀左县2名一般接触者（密切接触者的接触者），2名内蒙古宁城密切接触者在我市的活动轨迹。市、县两级防指高度重视，按照省防指13号令要求，对双塔区1名密切接触者，喀左县2名一般接触者进行了集中隔离，目前已进行了一次血清抗体和核酸检测，均阴性。对内蒙古宁城2名密切接触者在我市活动所接触人员进行了追踪调查并对有关人员进行了健康风险告知，目前，该2名密切接触者已在内蒙古宁城进行集中隔离并做完2次核酸检测，均阴性。　　因此，目前朝阳市并无新冠肺炎确诊病例和疑似病例。　　另根据辽宁省卫健委网站消息，5月15日0时至17日24时，辽宁省无新增新冠肺炎确诊病例，无新增治愈出院病例。
23,网传上海嘉定出现初二学生新冠肺炎疑似病例？,谣言,2020-05-16,　　15日下午，一张印有“嘉定区教育局文件”字样的“红头文件”照片在微信群中广为传播，根据图片所示，震川中学一名初二学生“16:30初步诊断为不能排除新冠肺炎可能的发热病例”的消息，引起了不少网友的恐慌。网传的断章取义图片　　新民晚报记者和上海市嘉定区教育核实后发现，图片为发布者断章取义，根据嘉定区教育局2020年5月11日在官网公布的文件全文，这名学生新冠病毒核酸检测和抗体检测均为阴性，相关班级师生可解除居家隔离观察。这份《上海市嘉定区教育局关于震川中学一名学生发热处置情况的通报》共有两页，而微信群中转发的图片只截取了第一页的上半部分，造成了信息传播失实。据悉，震川中学一名初二学生5月6日返校复课，入校晨检、午检体温均正常，7日晚出现发热症状，8日上午6:30向学校报告，后在学校指导下8:30由家长带领到指定医院发热门诊就诊，16:30初步诊断为不能排除新冠肺炎可能的发热病例。5月9日下午，新采集的样本经上海市疾控中心实验室检测，新冠病毒核酸检测和抗体检测均为阴性。 
24,甘肃省确定幼儿园和特殊教育学校开学时间,事实,2020-05-19,　　5月19日，@甘肃省教育厅 发布消息称，经甘肃省人民政府同意，全省幼儿园和特殊教育学校于5月25日起，按照“一县一策、一园（校）一案、家长自愿”原则，分批错峰开学，具体时间由所在县（市、区）政府确定。　　幼儿园和特殊教育学校按照属地管理原则向所在县（市、区）教育行政部门提交开学申请，并由县（市、区）政府组织教育、卫健等有关部门，对幼儿园和特殊教育学校开学方案和准备工作逐园（校）审核验收后，达到开学条件的方可开学。
25,中方1月3日下令销毁病毒样本？国家卫生健康委回应,辟谣,2020-05-16,　　5月15日，国新办就新冠肺炎疫情常态化防控工作举行新闻发布会。　　在发布会上，有记者提问，美国国务卿蓬佩奥表示，中国卫健委在1月3日下令销毁病毒样本，并且拒绝和其他国家分享病毒毒株。中方有何回应？对此，国家卫生健康委科教司监察专员刘登峰回应，一些美国官员散播的言论，纯属断章取义，有意混淆视听。　　刘登峰表示，疫情发生后，面对不明原因的肺炎疫情，病原鉴定是首要任务，这是科学防控的基本工作。国家卫生健康委高度重视，立即组织国家级高水平的专业机构进行病原的平行鉴定工作，夜以继日、通宵达旦就是为了早日鉴定病原体是什么。在这种情况下，我们也对病原体的致病性保持高度警惕，也组织专家进行综合研判，为防范生物样本病原泄漏、确保生物安全，根据专家综合研判意见，确定了对引起不明原因肺炎的病原体暂按二类高致病性病原进行管理，并对采集、运输、实验活动、销毁等等做出了明确的生物安全要求。根据《传染病防治法》和《病原微生物实验室安全管理条例》的相关要求，1月3日我们印发了相关文件，主要目的就是为了防范实验室生物安全的风险，防范不明原因病原造成的次生灾害。　　刘登峰说，为了进一步加强和规范实验室生物安全工作，在疫情防控工作中我们出台了实验室生物安全指南，这在防范生物安全风险方面也发挥了重要作用。其实一直以来，我国法律法规对高致病性病原微生物样本的保存、销毁、实验活动等都有比较明确的要求，对于实验室条件达不到生物安全样本保存条件要求的，应就地销毁或移交专业的保藏机构保管，这都有明确的规定，同时也是法律法规对实验室生物安全监管部门提出的工作要求。
26,重庆放暑假时间定了，小学7月5日，中学7月11日？,谣言,2020-05-16, 　　近日，一张新闻截图在重庆部分微信群流传，截图内容显示重庆中小学放暑假时间已确定，小学为7月5日，中学为7月11日。　　对于上诉内容，经向重庆市教委核实，此消息为不实信息。请家长切勿听信谣言，以官方渠道公布的时间为准。
27,黑龙江高校学生可返校复课,事实,2020-05-19,　　经黑龙江省应对新型冠状病毒感染肺炎疫情工作领导小组指挥部同意，6月1—7日，黑龙江省高校毕业年级及有重要科研任务的研究生返校复课，高校非毕业年级返校复课时间由学校自行确定。　　根据要求，各高校要在返校复课前一周将本校返校复课工作方案报属地疫情防控指挥部，并主动接受返校复课评估验收。　　自5月7日0时起，黑龙江省牡丹江市林口县风险等级由中风险地区调整至低风险地区。自此，黑龙江全省125个县（市、区）均为低风险地区。
28,中国拒绝世卫组织参观武汉实验室？,谣言,2020-05-15,　　针对“中国拒绝世界卫生组织去武汉实验室”的说法，国家卫健委国际司监察专员李明柱15日表示，世界卫生组织从来没有就参观某一个实验室提出过请求，所以“拒绝世界卫生组织去武汉实验室”的说法是不符合事实的。　　15日，国新办就新冠肺炎疫情常态化防控工作举行新闻发布会，李明柱在回答记者提问时作出如上表述。　　李明柱指出，当前，境外的新冠疫情形势严峻复杂，中国外防输入、内防反弹的任务是艰巨繁重的，所以中国在做好国内疫情防控的同时积极开展国际合作。在多边层面，与世界卫生组织和二十国集团密切合作，落实这两个国际组织提出的合作倡议；在双边层面，近期举办了中国-中东欧国家卫生部长视频会议、中英卫生部长对话会，还有中日韩卫生部长视频会，这是在政府层面的交流。在技术层面，与非洲12个国家举办了视频技术交流会，主要是分享疫情防控的经验。另外，中国应相关国家的请求，向19个国家派出了21支抗疫医疗专家组，主要是帮助所在国开展疫情防控工作，他们的工作也得到了当地政府和民众的充分肯定。　　李明柱表示，世界卫生组织是一个联合国的专门机构，在协调全球卫生事务方面发挥着重要的领导作用，中国非常重视与世界卫生组织的合作，并且坚定支持世界卫生组织在新冠肺炎抗疫国际合作中的领导作用。自疫情发生以来，中国一直本着公开、透明、负责任的态度向世界卫生组织和国际社会分享疫情信息，我们与世界卫生组织专家之间还建立了技术交流机制，召开了多次技术交流会议。　　“另外，我们也邀请世界卫生组织来中国现场考察，1月20日-21日，我们接待了世界卫生组织的专家组赴湖北武汉考察，专家组访问了医疗卫生机构，包括实验室，与湖北的专家进行了非常深入的交流。2月16日-24日，我们接待了中国-世卫组织联合专家考察组，这个专家组分别赶赴北京、四川、广东和湖北武汉，全方位、深入地调研疫情形势、防控措施、医疗救治、科研攻关等情况，他们也对中国和世界上所有国家就疫情防控提出了非常有价值、有建设性的建议。”李明柱说。　　李明柱强调，世界卫生组织从来没有就参观某一个实验室提出过请求，所以“拒绝世界卫生组织去武汉实验室”的说法是不符合事实的。
